discretionary_income,debt_to_income_ratio,monthly_expense_burden_ratio,emergency_fund_months,saving_to_income_ratio,average_rating,rating_number,rating_variance
-18548.42,8.119180188564723,8.505531501638814,0.1182703670648324,1.005952332780318,3.4,11,2.3094010768
746.5199999999998,0.1948554755759334,0.7008031806595381,2.113882280276341,1.4814154255574972,3.2,3,0.0
802.6299999999999,0.0,0.4960316961987166,5.348510740642287,2.653030854817848,3.3,6,1.4142135624
807.3400000000001,0.0,0.6189473783575854,5.762286768799043,3.566552288892769,4.1,28,0.0
-619.7200000000003,0.7103969030501553,1.2636321095843792,2.1867446354387594,2.763240736801804,4.3,2,0.0
1475.9199999999998,0.0,0.3149371295423848,12.650027265626152,3.9839632756692023,1.0,1,0.0
-12529.88,5.420720832493293,5.857973666661498,0.5651368180277871,3.310556598067648,4.6,868,1.2720449738
-8911.940000000002,10.907957744784271,11.722549750944488,0.1397155724883712,1.6378227494766224,3.5,9,0.0
-27355.47,55.06628,55.71094,0.0385680083660408,2.14866,1.0,1,0.0
1199.7800000000002,0.0,0.3894839684712419,11.94221397682288,4.651300892025708,4.6,79,0.0
100.98000000000002,0.0,0.79804,7.009648639165956,5.593979999999999,5.0,4,0.0
-5693.3,4.597247042804868,5.037457805009503,0.1401367228743337,0.7059328284117664,4.3,8,1.7320508076
-2368.45,1.908441999127442,2.43514591109603,1.0976368391323712,2.6729058606815648,4.4,7137,1.4691983714
-7560.11,5.320181052182492,6.039670159720556,0.5686886535993015,3.434691891315361,4.2,4,1.7320508076
886.6700000000001,0.0,0.6698981776214143,2.3466860807611507,1.5720407289514342,4.3,40,0.4045199175
1661.3000000000002,0.0,0.4066573806207364,6.814596873353242,2.7712061145040896,4.0,139,1.8619167197
560.04,0.0,0.8112990124230509,0.9234372858548984,0.7491837580487016,3.1,2,0.0
520.63,0.0,0.4278036664175496,3.9313037893384712,1.681826174880204,3.0,17,1.9663841605
1203.1,0.0,0.4535238648958012,5.049345992828956,2.289998909863914,3.0,2,0.0
1732.1799999999998,0.0,0.3317902841910758,7.56117383064563,2.5087240140880387,4.5,67,1.1208970766
-14311.7,5.468782413815385,5.86711398440396,0.5164497956491321,3.03006981829559,2.5,8,0.0
-6397.07,5.742854837408214,6.161841362059227,0.1310413193703291,0.8074558218349068,4.1,17,0.0
417.6100000000001,0.0,0.815252782644087,4.541259910029683,3.702274778361735,3.4,17,1.6329931619
445.2700000000001,0.0,0.6370120976945902,2.077833659666501,1.3236051782045848,5.0,2,0.0
566.44,0.0,0.7525879465026687,1.3772446054021428,1.036497689411477,3.2,60,1.8976668836
-4360.349999999999,4.9239206291339,5.541794698192803,0.2594184647770844,1.437643872714963,4.1,73,1.509809527
-6139.629999999999,10.536753954539412,11.201432274358632,0.3382051689023314,3.788382294297488,4.6,177,0.8156402655
-6541.48,3.233051123147742,3.6600465199499017,0.6363925231983504,2.32922623985426,4.3,8,1.3416407865
454.0,0.1349031859908971,0.8248862146108153,1.323917516132049,1.092081308339119,3.3,6,2.065591118
1037.67,0.0,0.4962400174770007,5.384971335772565,2.6722382697769254,3.4,24,1.7304639535000002
622.05,0.0,0.502069208417716,3.446940467459583,1.7306026719604248,5.0,2,0.0
-4838.56,3.7983125983125983,4.45957385957386,0.4396808804006952,1.960789360789361,1.0,1,0.0
-1298.22,3.27358,3.59644,1.1472678537665024,4.12608,4.9,10,0.0
1397.13,0.0,0.3139687902029913,4.56183043743451,1.432272383552496,3.9,25,1.5165750888
1200.3300000000004,0.0,0.4248566130492905,3.187677628907836,1.3543059209107764,3.6,24,0.5712405706
506.1500000000001,0.0,0.6647258323066121,7.296848063297824,4.850403402090537,4.0,2,0.0
277.94000000000005,0.0,0.7669637542026847,1.6824159606449849,1.2903520613067938,4.2,496,1.4828821657
977.35,0.0,0.6361670128729162,4.458104873866968,2.8360992606821376,4.2,43,1.6242214252
122.09000000000005,0.0,0.859921062897267,0.895102002695166,0.7697170655590996,3.7,48,1.7638342074
1940.96,0.0,0.35114896803482,7.699234591877534,2.703578281595785,1.0,1,0.0
310.62,0.0,0.5282055955527203,1.851535541752933,0.9779914335186366,2.6,13,1.0
872.54,0.0,0.5466029255111851,6.197897158502153,3.387788718854737,3.6,33,1.2328828006
-15413.919999999998,6.304449194458776,6.9795559727981935,0.547304894648585,3.819945146386218,4.6,4,0.7071067812
-3386.48,7.147819999999999,7.77296,0.1522663181079022,1.18356,3.4,13,1.9880595948000002
-15110.32,5.662959846116855,6.046058080200902,0.1018928681896513,0.6160501990328872,3.5,2,0.0
-6616.38,7.2775234835217315,7.583724725362203,0.1729066017262056,1.311276070689381,3.8,13,1.1547005384
-9946.21,7.059673936226939,7.629392396288792,0.7831194257124211,5.974725391916391,3.9,377,1.5856410141000001
-9355.16,6.368797303059375,7.232784351348469,0.5836735408230566,4.221584852361156,4.2,5,0.0
1814.83,0.0,0.3569654429558975,9.609840589204534,3.43038100266096,3.0,24,1.7841898255
-3086.63,4.516553868666545,5.03280723300844,0.6385964730101946,3.2139329483393877,3.6,10,0.0
-27.7800000000002,0.6433775087770005,1.0236150190841318,1.808204957854088,1.850905752441834,3.4,7,1.4142135624
341.66,0.0,0.31668,15.520588606795505,4.91506,4.5,2,0.7071067812
-2168.22,1.9086821676974175,2.3263474702244404,0.6746446837323656,1.5694579533011566,4.2,6,0.0
286.6100000000001,0.0,0.8366373315701876,5.627395543080602,4.708089190852921,3.1,3,0.0
-10482.78,10.47795771689924,10.784645540672985,0.2248771651348912,2.425220516171186,1.0,1,0.0
470.8299999999999,0.2884399347707918,0.8293785105997463,4.055337816286315,3.3634100380503718,4.8,8,0.7071067812
-1169.9,0.9401173923088068,1.4580962710908714,0.9204238760597572,1.3420666215057384,2.0,1,0.0
-11151.170000000002,4.405315354307206,5.160635932183154,0.215658942415516,1.1129372873261298,4.1,10,0.0
-6445.81,2.780592550038882,3.257900783948325,0.6271892428329815,2.043320325909527,3.9,10,0.0
-1355.4299999999998,1.7441760310878751,2.357520581695811,0.7447331863426073,1.7557238146745988,4.3,9,0.0
-775.1299999999999,1.69284,2.55026,1.7269298032357487,4.40412,4.0,26,2.3094010768
126.03999999999996,0.0,0.8713273577393471,2.3340363210310486,2.03370970047165,2.9,4,0.0
523.8500000000001,0.0,0.5703153836689496,3.994290234431181,2.278005167534757,5.0,6,0.0
-35905.43000000001,17.383727450719487,18.06304769327276,0.0912253737268713,1.647808276465109,5.0,1,0.0
-5783.92,2.761532310689963,3.657978180748693,0.9144193829632736,3.3449261509333383,5.0,5,0.0
453.5899999999999,0.0,0.7632582973637375,6.179905359756014,4.716864042756411,1.0,1,0.0
-35.86999999999989,0.1841476251458277,1.0136308535338756,3.3155807153032915,3.3607749104133333,4.4,7,0.0
739.3200000000002,0.0,0.7451209548138877,1.7444421310754852,1.2998203863245388,4.5,335,1.2705658456
420.8399999999999,0.0,0.5926277273343272,4.364444154062265,2.5864906200995104,4.3,47,1.788854382
152.3,0.0,0.6954,2.3235547886108714,1.6158,4.1,1187,0.0
-9666.03,19.95974,20.33206,0.0501680597047224,1.02002,3.9,41,1.4880476183
-13309.95,7.577461870026525,7.8954896800397885,0.3024181457055325,2.387739348474801,4.1,21,0.0
517.1600000000001,0.0,0.3188361892970509,9.098277357789067,2.900860081925108,4.3,37,0.4082482905
772.38,0.0,0.4385998066593497,3.9798651044860223,1.745568065357862,4.7,28,0.0
953.33,0.0,0.6754477644968118,3.366293018285921,2.2737550938424507,4.2,32,0.734139659
699.64,0.0,0.5286238841165571,3.718242184014988,1.9655516254000336,4.1,22,1.1952286093
-5912.76,2.5382768672986944,3.0692290732711105,0.601596537377013,1.8464375828967583,4.4,24,1.3944333776
501.0200000000001,0.0,0.5923982459993979,3.190326434761113,1.889943784117996,4.4,436,1.4335440452000001
-3380.32,1.3580080937399768,2.1534330150887517,1.4898938041318466,3.208386506793692,5.0,5,0.0
-1810.4100000000003,1.055158072169954,1.829253657508772,0.6643721563805999,1.215305197006202,4.4,549,1.2664908727
-2391.98,1.5576513025722771,1.982724124189102,0.558560798672195,1.107471970353693,3.4,6,1.4832396974
1753.2599999999998,0.0,0.3691403157788684,5.605751047860414,2.0693087119849163,5.0,1,0.0
1678.83,0.0,0.3804140832595217,4.8401583282400535,1.8412643932683792,5.0,3,0.0
1095.2899999999995,0.0,0.6008345633120138,5.825664479031456,3.500260573261176,4.7,28,0.0
-1768.7999999999995,2.1215269908897247,3.004260526673616,0.6401716880648131,1.9232425327471327,4.3,28,1.4638501094
-9421.15,3.89680909770392,4.290495749421964,0.4112870992137111,1.7646255509685171,1.0,1,0.0
-18518.83,10.487533027770288,10.985888379617148,0.4074174423130632,4.475842545160421,5.0,1,0.0
175.94999999999993,0.0,0.759883728864446,5.207535648863186,3.95712160705269,4.1,55,1.6124515497
668.9100000000003,0.0,0.7748081066523026,3.0796092965861246,2.386106248316725,4.9,31,0.33333333330000003
-377.3400000000004,0.6075587239241035,1.1945041520404536,3.11429866010745,3.7200426801923694,1.0,1,0.0
-5241.1,10.70512,11.4822,0.1682848234658863,1.93228,4.3,12,0.9574271078000001
717.8000000000001,0.0,0.4274456001531491,2.628704187504665,1.123628039053028,4.7,6,0.0
-3937.83,1.904998116522018,2.4686764557792937,1.175049554013875,2.900817168368013,4.1,12,0.0
-1199.5099999999998,1.130885945785687,1.450163438551983,1.9542353757129696,2.8339606921838465,2.5,2,0.7071067812
-4106.759999999999,2.627123242249318,3.0632112013745494,0.6615741902470467,2.0265414701050504,4.2,110,0.5163977795
-3045.66,1.5569213887667148,2.3809949170449034,1.4643244138813616,3.486548986356279,4.0,2,0.0
-35787.68,40.11671201489332,40.42286211568755,0.0479767666145167,1.9393582216151315,4.0,17,0.0
-1634.0300000000002,3.39378,4.26806,1.0374643280553693,4.42796,4.6,59,0.0
1743.7199999999998,0.0,0.3454651922254003,7.164417497881217,2.4750568680885565,4.0,6,1.7320508076
1172.4899999999998,0.0,0.3036850075719334,10.861604349186482,3.2985063990260413,3.0,1,0.0
-6388.08,2.637004622351533,3.498134634787301,0.8825462090367817,3.0872654606318,3.3,6,0.0
605.53,0.0,0.3275699325937524,3.1736388907722555,1.039588677527179,4.0,254,0.0
-9821.45,5.5873308994923,6.226788926378083,0.4733340683440294,2.947351335242089,4.8,6,0.0
-1874.5400000000004,2.117732852961915,2.810607450908424,0.593934395243741,1.6693164366228472,3.9,32,1.7525491638
-2126.28,2.07941752144928,2.564568586187105,0.6996700427509828,1.7943518123353592,5.0,2,0.0
-8328.99,6.269334430322288,6.907420279164775,0.1970846840149462,1.3613467430776214,3.6,9,0.0
521.55,0.0,0.6535932518597237,8.117687109394849,5.30566551540914,4.0,140,1.6008655667
-11631.56,23.8504,24.263120000000004,0.0423688297300594,1.028,4.5,301,1.2792042981
-8509.570000000002,3.910123162099889,4.526435095396755,0.6624198340146392,2.9984003845707563,3.9,24,1.7816403746
503.8499999999999,0.0,0.8250757709893453,1.5197471955027055,1.25390658903829,2.0,1,0.0
1675.23,0.0,0.3812448751948349,6.339453007682694,2.41688397071751,3.9,17,0.9574271078000001
275.76,0.0,0.44848,9.926105957902246,4.45166,4.5,101,1.0
506.1500000000001,0.0,0.6647258323066121,7.296848063297824,4.850403402090537,3.5,50,0.8978607053000001
1940.96,0.0,0.35114896803482,7.699234591877534,2.703578281595785,4.7,6,0.5
227.97000000000003,0.0,0.8631287599514883,5.253274532035809,4.534252332520803,3.9,655,0.0
847.2799999999997,0.0,0.706941158566112,3.085357261678768,2.181166037161555,1.0,1,0.0
1523.11,0.0,0.3485860676771478,6.505404576406355,2.267693399938413,2.0,2,1.4142135624
-12352.07,4.982942229390822,5.859289128425028,0.1693350754195307,0.992183166466689,4.7,4,0.0
1179.9600000000005,0.0,0.4663253445258049,4.290732748169342,2.000877427058222,3.6,4,0.0
137.39,0.0,0.8517747329809041,3.4084305455282387,2.903215017801273,4.0,1,0.0
-17197.13,23.38101016027094,23.93011813648364,0.1549970998116131,3.709098909304248,3.9,11,2.0816659995
198.08000000000004,0.0,0.8034413638438486,1.4964676530889511,1.2023240121459902,4.6,529,1.3752470134
122.17999999999984,0.1088946914727125,0.9488730991655996,2.939221012894918,2.7889477516382537,1.0,1,0.0
849.8600000000001,0.0,0.6578842492140105,4.522257644085739,2.975122074931666,4.0,38,1.303840481
452.8899999999999,0.0,0.8166556012565988,3.701165436456201,3.0225774848592804,4.6,4,0.5
1220.02,0.0,0.5226297193343533,5.145355584005271,2.689115744744122,4.3,101,1.5680144625999999
1129.02,0.0,0.3846195773626864,11.040090696520938,4.2462350177416095,3.1,2,0.0
-3753.14,2.599549374166246,3.3955550165633714,0.912647913005066,3.098946199360443,3.8,22,1.4142135624
-17355.25,8.5943524110465,9.112507712731148,0.1909767694286152,1.7402772843707346,5.0,1,0.0
-1467.79,1.875653178717878,2.500945894816496,1.1246105409494216,2.812590115654815,3.6,18,1.9632996344
-6364.400000000001,7.165947603421378,7.847490451342192,0.3594178657362024,2.8205282694066383,5.0,1,0.0
896.97,0.0,0.3744935459800975,2.909481955979293,1.089582214659795,4.4,80,0.4803844614
568.5,0.0,0.7979959492591409,3.585248018523466,2.861013395871087,2.8,16,1.5275252316999999
1773.74,0.0,0.3330400385043467,2.594998306424297,0.8642383358902626,4.2,67,1.5
-971.7000000000008,0.8266071293313954,1.350479172152109,2.6222387218597345,3.5412787782823383,3.3,10,2.1213203436
-24952.83,50.19576,50.905660000000005,0.09938776945432,5.059399999999999,4.0,36,1.6693837501000002
186.26999999999973,0.5666707684405948,0.9003429439679849,5.473176297211856,4.927735660287516,4.2,33,1.7728105209
1250.2999999999995,0.0,0.5532201524404408,1.646156429849435,0.9106869110621162,5.0,1,0.0
-7123.29,14.7377,15.24658,0.0686829439782561,1.04718,5.0,2,0.0
-3411.11,3.611677497969131,4.463759138911454,0.4835244579620602,2.1583367181153537,5.0,1,0.0
1940.96,0.0,0.35114896803482,7.699234591877534,2.703578281595785,5.0,1,0.0
-17892.309999999998,35.67498766650222,36.307962506166746,0.136045537108961,4.939536260483473,4.4,5,0.0
312.68,0.0,0.37464,9.865897928678198,3.69616,4.4,5,0.0
113.5200000000001,0.0,0.8942445641035195,0.6232940931347015,0.5573773546235397,5.0,1,0.0
272.29999999999995,0.0,0.6820411022886502,3.036723163841808,2.071170014012144,3.0,2,0.0
1600.3300000000004,0.0,0.3146367681508858,11.739546469211083,3.6936929606297184,4.1,6,0.8164965809
136.24999999999994,0.0,0.7439776015633809,5.195842699467078,3.865590589650119,3.8,56,1.3291601358
835.01,0.0,0.4733426259389842,6.727947446967273,3.184624311726974,4.4,31,1.4078859532
365.59000000000015,0.0,0.85037652451502,2.680350946429173,2.279307522304985,2.9,11,0.0
904.09,0.0,0.5155138043385065,8.387675547562864,4.323962531081197,4.2,5,0.0
748.88,0.0,0.466985530146122,0.8951090518358201,0.4180029751101431,5.0,2,0.0
899.06,0.0,0.6001921084345386,2.8411463542940125,1.7052336207548262,3.6,7,0.0
992.3000000000002,0.0,0.5332834774919689,5.118580386830478,2.729654348511145,5.0,2,0.0
1504.9699999999998,0.0,0.3055629896916731,3.108862747466816,0.949953395657029,3.6,8,2.0615528128
-9895.51,20.06398,20.79102,0.2776929655206911,5.77352,4.6,897,1.0253099781
65.91999999999985,0.1197203097292078,0.9583998586402964,5.168362206902001,4.953357608496728,5.0,1,0.0
-2596.86,2.067048449549344,2.6899489148472324,0.6286570009507658,1.691055217518628,4.6,21,0.0
912.11,0.0,0.3008990641455058,6.02598196545927,1.8132123339643895,3.4,55,1.8586407546000001
416.5,0.0,0.6711357463205104,2.3061248499964706,1.5477228223106565,4.2,67,0.8489980688000001
389.66,0.0,0.3829709743313645,6.9085796981600165,2.6457854982502256,4.6,7,1.4142135624
-1620.0500000000002,0.8143141950773011,1.6771114148266106,1.2634624586307268,2.118967311574486,4.4,4,0.0
610.23,0.0,0.6420770476034067,6.0049420383852965,3.855635455036013,4.6,24,1.1547005384
-4140.59,1.7098953756085824,2.3836049468524134,0.347189199798127,0.8275618941325465,4.3,9,0.0
595.2499999999999,0.0,0.4819768858565114,2.3587382409764728,1.1368573119365055,3.7,31,1.6279933412
-2635.66,1.3648809253799048,2.1955817645724656,1.982397276123104,4.352515309594013,3.8,21,0.4082482905
-1907.8700000000003,1.0113259779778754,1.6986257227497263,1.7617337391889212,2.992526246022359,4.6,541,1.1442992345
-572.79,0.9042125153937048,1.285582517737038,2.6855589339455803,3.452507615832955,3.9,23,1.7320508076
1242.2,0.0,0.3851286468078366,9.058787240058608,3.4887984714838685,3.4,7,1.3784048752
-17878.78,8.013364209120876,8.45974882129595,0.1944491573072499,1.6449910293319985,5.0,2,0.0
-1407.1799999999998,0.9789135695972012,1.561977332087317,1.182053406150605,1.8463406257238475,4.0,114,1.3111795907000001
1271.7700000000002,0.0,0.5021666712335737,2.005456643073181,1.0070734867553168,4.5,3,0.5773502692
240.57,0.0,0.51886,9.563504606252168,4.96212,5.0,4,0.0
147.83000000000004,0.0,0.8022552770272078,1.1331221342225928,0.9090532116964072,3.3,3,1.5275252316999999
-7246.17,15.10924,15.49234,0.3652308172942241,5.65828,4.7,75,0.3518657753
143.12,0.0,0.71376,3.5525386684599862,2.53566,4.2,8,0.0
748.88,0.0,0.466985530146122,0.8951090518358201,0.4180029751101431,3.2,4,0.0
544.05,0.0,0.7370786516853933,2.489771833202203,1.8351576658209496,5.0,1,0.0
745.8500000000001,0.0,0.7134289018584761,2.6350211652179536,1.879900256275287,3.0,2,1.4142135624
-1856.0,1.2248489720914206,1.85264729527966,1.315563821213812,2.437275755139543,4.4,87,0.0
-15718.28,6.371414117024823,7.024199080940829,0.189187050913192,1.3288875091503494,4.6,4,0.0
1359.4100000000003,0.0,0.5151907446835068,2.5299113941575526,1.303386935139318,4.4,40,1.7320508076
413.88000000000005,0.0,0.5436573129720491,5.83099762711177,3.170064501901979,3.5,8,0.0
1505.13,0.0,0.3599739759405018,5.348170198691142,1.9252020904293543,3.5,34,1.5175738213
902.38,0.0,0.5578302626421012,6.109291825512552,3.4079478635829084,3.6,7,1.4142135624
-6470.63,3.7057402143013336,4.537409796632407,1.1546682281444318,5.239202930242729,2.9,6,0.5
459.0499999999997,0.0,0.8397166191222736,3.48322619275325,2.924922922216908,1.0,2,0.0
213.54,0.0,0.8030945706698142,2.9910786047259283,2.402118987902036,4.3,107,1.4040757
-6541.48,3.233051123147742,3.6600465199499017,0.6363925231983504,2.32922623985426,2.5,2,0.0
-11580.54,7.516567348036242,8.241322386398453,0.5260273889453306,4.33516129637388,4.4,12,0.0
-620.3399999999997,0.5857741908293999,1.2178649696561024,2.743983043515875,3.3418008260283205,1.0,1,0.0
346.01,0.0,0.6059246267211826,2.999586481711214,1.8175233192487728,3.8,5,0.7071067812
452.7300000000001,0.0,0.462277596978407,6.115644510675471,2.8271254483692423,5.0,4,0.0
-2830.82,1.456747011357552,2.341309364176092,1.8525795790994697,4.337461916426991,4.4,64,0.6666666667000001
823.6400000000001,0.0,0.6625753801782904,2.65163356664111,1.75690711851075,4.5,8,0.0
259.3799999999999,0.0,0.8796224103363779,3.0988265957559067,2.725797319373283,5.0,4,0.0
-16790.489999999998,6.852198653761414,7.37810538951271,0.1714409867471622,1.264909668302615,4.8,1104,0.8469304153
-18189.72,7.538517642038291,8.056706690202315,0.2822904392804674,2.2743312707310923,3.8,3,0.0
844.8200000000002,0.0,0.6905568599297469,1.4888055545241898,1.02810488877819,4.5,3,0.0
-2576.7499999999995,1.4041817867634352,2.2368479158266608,0.8650256326621704,1.9349307835570144,2.2,3,2.1213203436
1562.01,0.0,0.3377974487135462,4.051468373493976,1.368575680109886,5.0,4,0.0
293.42999999999995,0.0,0.5872473308857662,6.688679697231004,3.927909299348722,4.6,27,0.0
1630.7600000000002,0.0,0.350856032832173,9.174493141670732,3.218926266932572,4.0,697,1.6664550322
57.14999999999998,0.0,0.8857,3.862549395957999,3.42106,4.2,171,1.7001400503
-2776.98,1.6394793412727808,2.060324781690652,1.4812684281046784,3.0518940507600263,3.4,131,1.2835611401
1044.4,0.0,0.5303069824337331,3.3498532878780165,1.77645058869031,4.7,43,0.4629100499
-1810.4100000000003,1.055158072169954,1.829253657508772,0.6643721563805999,1.215305197006202,3.9,5,0.0
-3753.14,2.599549374166246,3.3955550165633714,0.912647913005066,3.098946199360443,4.7,251,0.0
-2393.3,2.608726395082446,3.25636142511007,0.6354274332004436,2.06918138193063,3.0,1,0.0
-2008.57,1.9860212444732015,2.353775746791761,0.1912549216121411,0.4501711959452172,3.6,7,1.4142135624
289.89,0.0,0.6909092847699067,3.7153042485223535,2.5669382010491746,4.0,4,0.0
-619.7200000000003,0.7103969030501553,1.2636321095843792,2.1867446354387594,2.763240736801804,4.5,160,0.88353086
160.11000000000013,0.617951990194659,0.9460874601405476,3.5381855714133184,3.3474330007643585,4.0,1,0.0
-15121.86,8.517559060872108,8.893152801411407,0.113684492254814,1.011013560772933,4.2,32,1.2472191289
549.73,0.0,0.7808277616308045,1.6464605204035785,1.2856020827602157,2.1,5,0.0
-8977.95,9.619625484899569,10.117076588744238,0.0871160299075852,0.8813595466823729,3.5,6,0.0
-1263.29,3.01202,3.52658,1.1884148381718265,4.19104,4.7,198,0.894427191
-18829.78,7.644021505938012,8.025539234158773,0.1119518065343652,0.8984736156765005,4.0,14,0.4472135955
470.27999999999975,0.0,0.8158213198923785,3.0372135892967727,2.4778235992151614,5.0,2,0.0
1568.41,0.0,0.3068199396277783,12.661490593759904,3.884797779575096,3.9,16,0.0
-5420.780000000001,2.669876263129184,3.346922164399457,0.6038597662252991,2.021071635768528,3.6,3,0.5773502692
804.0699999999999,0.0,0.5926263685599785,5.246947987552576,3.109479731886371,4.1,9,0.0
987.2,0.0,0.6695985113190623,1.596837075394366,1.0692397285031527,4.0,82,1.2504544628
142.57999999999998,0.0,0.71484,6.135135135135135,4.38564,4.3,31,0.0
692.1,0.0,0.5121727730239508,3.945874160519652,2.020969310796904,3.7,22,0.0
-6291.01,2.609771582267248,3.1473075925344403,0.4258881888961069,1.340401130483459,3.1,12,2.19089023
415.64,0.0,0.4243532214281757,3.814719321148825,1.6187884327738076,4.2,25,1.4638501094
-28043.980000000003,26.339718042312278,27.11365837306317,0.0343194392452752,0.9305255512514896,3.0,2,0.0
-1199.3200000000002,1.00073674594053,1.589062760930854,2.2392668376966585,3.558335543571155,4.8,12,0.0
1829.29,0.0,0.3420861446389779,6.058318877148714,2.072466947677346,4.6,32,0.3892494721
-2601.08,1.4609729962246178,1.9989899028693672,0.6185571367913019,1.2364894707935985,4.5,728,1.390184877
173.33999999999995,0.0,0.65332,2.4220902467397294,1.5824,4.2,28,1.6193277069
926.67,0.0,0.6574448186250772,5.142749508012369,3.381074017529397,4.0,18,0.5
348.89999999999964,0.0,0.8766562495580978,3.793263918573421,3.325388520440629,3.4,6,2.3094010768
1912.1400000000003,0.0,0.322003489015275,4.188605281124056,1.3487455146297531,3.7,7,0.7071067812
264.79999999999995,0.0,0.6932095976272404,3.1521902628984004,2.185128543788305,4.0,1,0.0
-6338.269999999999,2.713396217490895,3.1413508381926656,1.067007520802391,3.351844969830469,3.4,94,1.8274798329
199.7800000000001,0.0,0.8203724183817512,3.091559715478787,2.536230320358931,3.9,179,0.894427191
577.9800000000001,0.0,0.5763821194819663,1.240116478681604,0.7147809643870154,3.0,9,0.0
